"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Nicolas Pepe","ARS","F","213","Bantztas","@MCI Sun 5:30AM","15.75","3.94","73%","-8.9%","4","1","0","1","0","1","0","2","0","0","0","26","76.5","11","0","0","0","1","0","0","0","0","0","0"
"Harry Winks","TOT","M","214","FA","WHU Mon 4:30AM","15.5","5.17","27%","+21.8%","3","0","0","1","0","0","3","2","0","1","0","178","88.1","29","0","0","2","0","2","0","0","0","0","0"
"Kevin Long","BUR","D","215","FA","@WBA Sun 3:00AM","15.25","5.08","7%","+4.6%","3","0","0","1","0","0","2","0","0","0","0","84","70.0","3","0","2","12","0","9","0","0","8","0","0"
"Alireza Jahanbakhsh","BHA","F","216","FA","@CRY Mon 2:00AM","15.25","5.08","0%","-0.9%","3","0","0","3","1","0","0","0","0","1","0","22","84.6","12","2","0","0","1","0","0","0","0","0","0"
"Harry Maguire","MUN","D","217","Blkeburn","@NEW Sun 3:00AM","15","5","93%","-4%","3","0","0","0","1","0","1","1","1","1","0","167","85.6","22","0","5","9","0","8","0","0","11","0","0"
"David Luiz","ARS","D","218","FA","@MCI Sun 5:30AM","14.75","4.92","53%","+31.3%","3","0","0","0","0","0","0","0","0","0","0","134","81.7","7","0","1","13","1","4","0","0","4","0","0"
"Jack Robinson","SHU","D","219","FA","FUL Sun 3:00AM","14.75","7.38","0%","-1.6%","2","0","0","0","0","0","2","0","0","0","0","61","84.7","11","0","2","8","0","6","0","0","3","0","0"
"Donny van de Beek","MUN","M","220","Bantztas","@NEW Sun 3:00AM","14.25","4.75","100%","+7.3%","3","1","0","0","0","1","1","3","0","0","0","28","77.8","13","0","0","0","0","0","0","0","0","0","0"
"Antonee Robinson","FUL","D","221","FA","@SHU Sun 3:00AM","14.25","14.25","7%","+5.9%","1","0","0","1","0","1","1","1","0","0","0","51","89.5","13","1","0","4","1","3","0","0","1","0","0"
"Tyler Roberts","LEE","M,F","222","FA","WOL Tue 8:00AM","13.75","3.44","0%","-1.7%","4","0","0","2","0","1","1","2","0","0","0","37","64.9","15","0","0","0","2","3","0","0","0","0","0"
"Aboubakar Kamara","FUL","F","223","FA","@SHU Sun 3:00AM","13.5","3.38","0%","-1%","4","0","0","3","0","1","0","6","0","1","0","57","80.3","20","1","1","0","2","3","0","0","0","0","0"
"Denis Odoi","FUL","D","224","FA","@SHU Sun 3:00AM","13.5","4.5","0%","-1%","3","0","0","1","0","1","3","2","0","1","0","139","82.7","22","1","5","5","1","6","0","0","10","0","0"
"Sergio Reguilon","TOT","D","225","splitt1n","WHU Mon 4:30AM","13.25","13.25","80%","+2%","1","0","0","4","0","0","1","2","0","0","0","52","80.0","13","0","0","1","2","0","0","0","1","0","0"
"Ayoze Perez","LEI","M,F","226","248 SC","AVL Sun 3:00AM","13.25","4.42","33%","-29.5%","3","0","0","0","0","0","1","1","0","0","0","51","68.9","19","0","2","2","1","2","0","0","0","0","1"
