"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"Reiss Nelson","ARS","M,F","366","W (Tue)","CHE Sun 6:30AM","6","3","1%","0%","2","0","70","0","0.0","0","0","1","0","2","1","0","0","2","0","0","0"
"Axel Tuanzebe","MUN","D","367","W (Wed)","@LEI Sun 1:30AM","3","3","1%","-0.1%","1","0","23","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"Vitinha","WOL","M","368","W (Thu)","TOT Mon 8:15AM","18","3","1%","+0.1%","6","0","52","0","0.0","1","1","0","0","2","0","0","0","2","0","0","0"
"Rekeem Harper","WBA","M","369","W (Wed)","@LIV Mon 5:30AM","2.75","2.75","0%","0%","1","0","21","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"Charlie Austin","WBA","F","370","W (Wed)","@LIV Mon 5:30AM","8.25","2.75","6%","0%","3","0","77","0","0.0","0","0","1","0","0","2","0","0","0","1","0","0"
"Matthew Longstaff","NEW","M","371","W (Tue)","@MCI Sun 9:00AM","2.75","2.75","0%","0%","1","0","29","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shkodran Mustafi","ARS","D","372","W (Tue)","CHE Sun 6:30AM","5.25","2.62","1%","0%","2","0","44","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"William Smallbone","SOU","M","373","W (Tue)","@FUL Sun 4:00AM","5","2.5","1%","0%","2","1","112","0","0.0","0","0","0","0","2","1","0","0","2","0","0","0"
"Rhian Brewster","SHU","F","374","W (Wed)","EVE Sun 9:00AM","24.5","2.45","9%","-0.4%","10","4","404","0","0.0","0","0","6","2","7","4","0","0","7","3","0","0"
"Fabian Schar","NEW","D","375","W (Tue)","@MCI Sun 9:00AM","15.75","2.25","1%","0%","7","4","412","0","0.0","0","0","1","0","7","3","0","0","7","0","0","0"
"Hal Robson-Kanu","WBA","F","376","W (Wed)","@LIV Mon 5:30AM","11","2.2","1%","0%","5","0","137","0","0.0","0","0","4","2","5","3","0","0","5","0","0","0"
"Issa Diop","WHU","D","377","W (Thu)","BHA Mon 3:15AM","8.75","2.19","2%","-0.8%","4","3","297","0","0.0","0","0","0","0","2","2","1","0","5","0","0","0"
"Neeskens Kebano","FUL","M","378","W (Tue)","SOU Sun 4:00AM","8.5","2.12","2%","0%","4","1","116","0","0.0","0","0","6","0","3","1","0","0","3","1","0","0"
"Tyler Roberts","LEE","M,F","379","W (Wed)","BUR Mon 1:00AM","16.75","2.09","1%","0%","8","2","238","0","0.0","0","0","2","1","3","6","0","0","3","3","0","0"
"Kyle Edwards","WBA","M,F","380","W (Wed)","@LIV Mon 5:30AM","10.25","2.05","0%","0%","5","1","113","0","0.0","0","0","2","1","1","1","0","0","1","0","0","0"
"Billy Gilmour","CHE","M","381","W (Thu)","@ARS Sun 6:30AM","2","2","1%","-0.1%","1","0","8","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"Dele Alli","TOT","M,F","382","W (Wed)","@WOL Mon 8:15AM","7.5","1.88","32%","-1.8%","4","1","74","0","0.0","0","0","2","1","0","3","0","0","0","0","0","0"
"Andi Zeqiri","BHA","F","383","W (Wed)","@WHU Mon 3:15AM","1.75","1.75","0%","0%","1","0","18","0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"Marvelous Nakamba","AVL","M","384","W (Wed)","CRY Sun 4:00AM","7","1.75","1%","-0.3%","4","1","104","0","0.0","0","0","1","1","5","2","1","0","8","0","0","1"
"Kieran Gibbs","WBA","D","385","W (Wed)","@LIV Mon 5:30AM","8.5","1.7","1%","+0.4%","5","4","360","0","0.0","0","0","0","0","3","1","1","1","12","0","0","0"
"Jonjoe Kenny","EVE","D","386","W (Tue)","@SHU Sun 9:00AM","6.5","1.62","0%","0%","4","1","79","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"Matej Vydra","BUR","F","387","W (Thu)","@LEE Mon 1:00AM","13","1.62","0%","0%","8","1","166","0","0.0","0","0","5","1","0","1","0","0","0","2","0","0"
"Anthony Gordon","EVE","M,F","388","W (Tue)","@SHU Sun 9:00AM","3.25","1.62","0%","0%","2","0","33","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"Andriy Yarmolenko","WHU","M,F","389","W (Thu)","BHA Mon 3:15AM","9.75","1.62","3%","-0.1%","6","0","107","0","0.0","0","0","4","1","4","2","1","0","7","1","0","0"
"Aboubakar Kamara","FUL","F","390","W (Tue)","SOU Sun 4:00AM","12.25","1.53","1%","0%","8","2","280","0","0.0","0","0","3","1","8","3","1","1","17","0","0","0"
"Mark Noble","WHU","M","391","W (Thu)","BHA Mon 3:15AM","10.5","1.5","4%","0%","7","2","179","0","0.0","0","0","0","0","3","4","1","0","6","0","0","0"
"Hamza Choudhury","LEI","M","392","W (Wed)","MUN Sun 1:30AM","3","1.5","1%","0%","2","0","13","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bernardo","BHA","D","393","W (Wed)","@WHU Mon 3:15AM","1","1","0%","0%","1","0","24","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Johnson","WHU","D","394","W (Thu)","BHA Mon 3:15AM","3","1","0%","0%","3","0","51","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"Nathan Tella","SOU","M,F","395","W (Tue)","@FUL Sun 4:00AM","3.75","0.94","0%","0%","4","0","97","0","0.0","0","0","1","0","2","4","0","0","2","1","0","0"
"Oleksandr Zinchenko","MCI","D","396","W (Tue)","NEW Sun 9:00AM","0.75","0.75","5%","0%","1","0","12","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Hector","FUL","D","397","W (Tue)","SOU Sun 4:00AM","3","0.75","0%","-0.1%","4","3","264","0","0.0","0","0","1","0","5","3","2","0","11","0","0","0"
"Shane Long","SOU","F","398","W (Tue)","@FUL Sun 4:00AM","5.25","0.66","2%","-0.1%","8","0","61","0","0.0","0","0","1","0","5","2","0","0","5","0","0","0"
"Maxime Le Marchand","FUL","D","399","W (Tue)","SOU Sun 4:00AM","1.25","0.62","0%","0%","2","1","122","0","0.0","0","0","1","0","3","1","2","0","9","0","0","0"
"Ibrahima Diallo","SOU","M","400","W (Tue)","@FUL Sun 4:00AM","3.75","0.62","0%","0%","6","0","24","0","0.0","0","0","0","0","4","0","1","0","7","0","0","0"
"Divock Origi","LIV","F","401","W (Tue)","WBA Mon 5:30AM","1.25","0.62","2%","-0.2%","2","0","7","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leif Davis","LEE","D","402","W (Wed)","BUR Mon 1:00AM","1","0.5","0%","0%","2","0","31","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"Wes Morgan","LEI","D","403","W (Wed)","MUN Sun 1:30AM","1","0.33","0%","0%","3","0","16","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel N'Lundulu","SOU","F","404","W (Tue)","@FUL Sun 4:00AM","1.25","0.31","0%","0%","4","0","16","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"Liam Delap","MCI","F","405","W (Tue)","NEW Sun 9:00AM","0.25","0.25","1%","+0.2%","1","0","39","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"Kamil Grosicki","WBA","M","406","W (Wed)","@LIV Mon 5:30AM","0.25","0.25","0%","0%","1","0","10","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Snodgrass","WHU","M","407","W (Thu)","BHA Mon 3:15AM","0.75","0.25","3%","+0.1%","3","0","4","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"Adam Forshaw","LEE","M","408","W (Wed)","BUR Mon 1:00AM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davy Propper","BHA","M","409","W (Wed)","@WHU Mon 3:15AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yannick Bolasie","EVE","F","410","W (Tue)","@SHU Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Terence Kongolo","FUL","D","411","W (Tue)","SOU Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Rodwell","SHU","M","412","W (Wed)","EVE Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William Saliba","ARS","D","413","W (Tue)","CHE Sun 6:30AM","0","0","15%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Bernabe","MCI","M","414","W (Tue)","NEW Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Clarke","TOT","F","415","W (Wed)","@WOL Mon 8:15AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elliot Anderson","NEW","M","416","W (Tue)","@MCI Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neil Taylor","AVL","D","417","W (Wed)","CRY Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kayne Ramsay","SOU","D","418","W (Tue)","@FUL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cedric Soares","ARS","D,M","419","W (Tue)","CHE Sun 6:30AM","0","0","1%","0%","1","0","5","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fabio Carvalho","FUL","M","420","W (Tue)","SOU Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean Michael Seri","FUL","M","421","W (Tue)","SOU Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oskar Buur","WOL","D","422","W (Thu)","TOT Mon 8:15AM","0","0","0%","0%","1","0","22","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emmanuel Longelo","WHU","F","423","W (Thu)","BHA Mon 3:15AM","0","0","1%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Vokins","SOU","D","424","W (Tue)","@FUL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Felix Nmecha","MCI","M","425","W (Tue)","NEW Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dane Scarlett","TOT","F","426","W (Wed)","@WOL Mon 8:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesse Lingard","MUN","M","427","W (Wed)","@LEI Sun 1:30AM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phil Jones","MUN","D","428","W (Wed)","@LEI Sun 1:30AM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frederic Guilbert","AVL","D,M","429","W (Wed)","CRY Sun 4:00AM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sepp van den Berg","LIV","D","430","W (Tue)","WBA Mon 5:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demarai Gray","LEI","M","431","W (Wed)","MUN Sun 1:30AM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Conor Coventry","WHU","M","432","W (Thu)","BHA Mon 3:15AM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Flynn","LEI","M","433","W (Wed)","MUN Sun 1:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Cain","LIV","M","434","W (Tue)","WBA Mon 5:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Nelson","LEI","D","435","W (Wed)","MUN Sun 1:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zak Brunt","SHU","M","436","W (Wed)","EVE Sun 9:00AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cedric Kipre","WBA","D","437","W (Wed)","@LIV Mon 5:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Konstantinos Tsimikas","LIV","D","438","W (Tue)","WBA Mon 5:30AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emile Smith Rowe","ARS","M","439","W (Tue)","CHE Sun 6:30AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Henri Saivet","NEW","M","440","W (Tue)","@MCI Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonny","WOL","D,M","441","W (Thu)","TOT Mon 8:15AM","0","0","19%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Henri Lansbury","AVL","M","442","W (Wed)","CRY Sun 4:00AM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beni Baningime","EVE","M","443","W (Tue)","@SHU Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Connor Wickham","CRY","F","444","W (Tue)","@AVL Sun 4:00AM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wesley","AVL","F","445","W (Wed)","CRY Sun 4:00AM","0","0","3%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Craig Dawson","WHU","D","446","W (Thu)","BHA Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miguel Azeez","ARS","M","447","W (Tue)","CHE Sun 6:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Max Sanders","BHA","M","448","W (Wed)","@WHU Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Cottrell","ARS","M","449","W (Tue)","CHE Sun 6:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peter Gwargis","BHA","M","450","W (Wed)","@WHU Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Romaric Yapi","BHA","D","451","W (Wed)","@WHU Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Teddy Jenks","BHA","M","452","W (Wed)","@WHU Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Folarin Balogun","ARS","F","453","W (Tue)","CHE Sun 6:30AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Atsu","NEW","M","454","W (Tue)","@MCI Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pablo Mari","ARS","D","455","W (Tue)","CHE Sun 6:30AM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Billy Koumetio","LIV","D","456","W (Tue)","WBA Mon 5:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Facundo Pellistri","MUN","M","457","W (Wed)","@LEI Sun 1:30AM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Williams","MUN","D,M","458","W (Wed)","@LEI Sun 1:30AM","0","0","6%","-0.1%","1","0","6","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"Meritan Shabani","WOL","M","459","W (Thu)","TOT Mon 8:15AM","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leighton Clarkson","LIV","M","460","W (Tue)","WBA Mon 5:30AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Faustino Anjorin","CHE","M","461","W (Thu)","@ARS Sun 6:30AM","0","0","0%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leonardo Campana","WOL","F","462","W (Thu)","TOT Mon 8:15AM","0","0","1%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyrese Francois","FUL","M","463","W (Tue)","SOU Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Izquierdo","BHA","F","464","W (Wed)","@WHU Mon 3:15AM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Goncalo Cardoso","WHU","D","465","W (Thu)","BHA Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Driscoll-Glennon","BUR","D","466","W (Thu)","@LEE Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricardo Pereira","LEI","D","467","ratzzz","MUN Sun 1:30AM","0","0","86%","-1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cole Palmer","MCI","M","468","W (Tue)","NEW Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ethan Fitzhugh","LEI","M","469","W (Wed)","MUN Sun 1:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bjorn Engels","AVL","D","470","W (Wed)","CRY Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stefan Johansen","FUL","M","471","W (Tue)","SOU Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin McDonald","FUL","M","472","W (Tue)","SOU Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Florin Andone","BHA","F","473","W (Wed)","@WHU Mon 3:15AM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ellis Simms","EVE","F","474","W (Tue)","@SHU Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oliver Casey","LEE","D","475","W (Wed)","BUR Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean-Philippe Gbamin","EVE","M","476","W (Tue)","@SHU Sun 9:00AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mesut Ozil","ARS","M","477","W (Tue)","CHE Sun 6:30AM","0","0","4%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Jenkins","LEE","M","478","W (Wed)","BUR Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Muhamed Besic","EVE","M","479","W (Tue)","@SHU Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mohammed Salisu","SOU","D","480","W (Tue)","@FUL Sun 4:00AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Max Thompson","BUR","F","481","W (Thu)","@LEE Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrad Branthwaite","EVE","D","482","W (Tue)","@SHU Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nya Kirby","CRY","M","483","W (Tue)","@AVL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jayson Molumby","BHA","M","484","W (Wed)","@WHU Mon 3:15AM","0","0","0%","0%","1","0","1","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Thomas","BUR","D","485","W (Thu)","@LEE Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Japhet Tanganga","TOT","D","486","W (Wed)","@WOL Mon 8:15AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nathan Ferguson","CRY","D","487","W (Tue)","@AVL Sun 4:00AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dennis Cirkin","TOT","D","488","W (Wed)","@WOL Mon 8:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gedson Fernandes","TOT","M","489","W (Wed)","@WOL Mon 8:15AM","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mace Goodridge","BUR","M","490","W (Thu)","@LEE Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sam Woods","CRY","D","491","W (Tue)","@AVL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charlie Cresswell","LEE","D","492","W (Wed)","BUR Mon 1:00AM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Ashby","WHU","D","493","W (Thu)","BHA Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ajibola Alese","WHU","D","494","W (Thu)","BHA Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Pierrick","CRY","F","495","W (Tue)","@AVL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Cork","BUR","M","496","W (Thu)","@LEE Mon 1:00AM","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcos Rojo","MUN","D","497","W (Wed)","@LEI Sun 1:30AM","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Martin Kelly","CRY","D","498","W (Tue)","@AVL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lars Dendoncker","BHA","M","499","W (Wed)","@WHU Mon 3:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lewis Richardson","BUR","M","500","W (Thu)","@LEE Mon 1:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Teden Mengi","MUN","D","501","W (Wed)","@LEI Sun 1:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Harwood-Bellis","MCI","D","502","W (Tue)","NEW Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tommy Doyle","MCI","M","503","W (Tue)","NEW Sun 9:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sokratis","ARS","D","504","W (Tue)","CHE Sun 6:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calum Chambers","ARS","D","505","W (Tue)","CHE Sun 6:30AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yan Valery","SOU","D,M","506","W (Tue)","@FUL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Max Meyer","CRY","M","507","W (Tue)","@AVL Sun 4:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harvey White","TOT","M","508","W (Wed)","@WOL Mon 8:15AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thakgalo Leshabela","LEI","M","509","W (Wed)","MUN Sun 1:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cenk Tosun","EVE","F","510","W (Tue)","@SHU Sun 9:00AM","-0.25","-0.06","0%","0%","4","0","33","0","0.0","0","0","0","0","1","0","1","0","4","0","0","0"
"Michael Obafemi","SOU","F","511","W (Tue)","@FUL Sun 4:00AM","-1","-1","1%","+0.1%","1","0","13","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"Odion Ighalo","MUN","F","512","W (Wed)","@LEI Sun 1:30AM","-1","-1","1%","-0.1%","1","0","9","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Tomkins","CRY","D","513","W (Tue)","@AVL Sun 4:00AM","-1","-1","1%","0%","1","0","27","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Bailly","MUN","D","514","W (Wed)","@LEI Sun 1:30AM","-3","-1.5","1%","-0.1%","2","1","97","0","0.0","0","0","0","0","2","0","1","0","5","0","0","0"
"Lee Peltier","WBA","D","515","W (Wed)","@LIV Mon 5:30AM","-1.75","-1.75","0%","0%","1","0","3","0","0.0","0","0","0","0","0","0","1","0","3","0","0","0"
