"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"Leander Dendoncker","WOL","D,M","152","STV","TOT Mon 8:15AM","119.5","9.96","43%","-8.2%","12","11","947","0","0.0","0","0","15","6","19","2","2","0","25","2","0","4"
"Michael Keane","EVE","D","153","Bantztas","@SHU Sun 9:00AM","139.25","9.95","75%","+1.9%","14","14","1,260","2","0.1","0","2","8","3","5","4","0","0","5","0","0","3"
"Matthew Lowton","BUR","D","154","W (Thu)","@LEE Mon 1:00AM","89","9.89","9%","+1.1%","9","9","810","0","0.0","0","0","2","0","4","6","1","0","7","0","0","4"
"Liam Cooper","LEE","D","155","W (Wed)","BUR Mon 1:00AM","108.25","9.84","27%","-2%","11","11","972","1","0.1","0","1","6","2","10","14","3","0","19","1","0","3"
"Rayan Ait-Nouri","WOL","D,M","156","W (Thu)","TOT Mon 8:15AM","49","9.8","15%","-2.7%","5","4","335","1","0.2","0","1","5","2","5","4","0","0","5","0","0","1"
"Kai Havertz","CHE","M,F","157","MKJ","@ARS Sun 6:30AM","117.5","9.79","95%","-0.8%","12","10","772","1","0.1","1","2","8","4","15","11","1","0","18","2","0","3"
"Angelo Ogbonna","WHU","D","158","W (Thu)","BHA Mon 3:15AM","137","9.79","38%","-7.2%","14","14","1,233","2","0.1","0","2","7","3","16","5","2","0","22","1","0","4"
"Curtis Jones","LIV","M","159","W (Tue)","WBA Mon 5:30AM","87.75","9.75","27%","-8.1%","9","5","520","0","0.0","0","0","9","6","10","7","1","0","13","0","0","2"
"Jayden Bogle","SHU","D","160","W (Wed)","EVE Sun 9:00AM","9.75","9.75","0%","0%","1","0","36","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"Conor Townsend","WBA","D","161","W (Wed)","@LIV Mon 5:30AM","77.75","9.72","3%","+0.1%","8","8","705","0","0.0","0","0","3","2","3","8","0","0","3","0","0","2"
"James McArthur","CRY","M","162","Blkeburn","@AVL Sun 4:00AM","116.5","9.71","19%","-0.9%","12","12","1,020","0","0.0","1","1","4","0","22","14","3","0","31","0","0","1"
"Victor Lindelof","MUN","D","163","W (Wed)","@LEI Sun 1:30AM","116.5","9.71","43%","-7.1%","12","12","1,080","1","0.1","1","2","4","1","13","5","0","0","13","0","0","3"
"Abdoulaye Doucoure","EVE","M","164","MKJ","@SHU Sun 9:00AM","135.75","9.7","61%","-1.4%","14","14","1,182","1","0.1","1","2","11","4","12","7","4","0","24","0","0","3"
"Sebastien Haller","WHU","F","165","BS420FC","BHA Mon 3:15AM","125.75","9.67","76%","+0.2%","13","7","709","3","0.2","0","3","22","10","20","10","0","0","20","9","0","2"
"Christian Benteke","CRY","F","166","W (Tue)","@AVL Sun 4:00AM","86.75","9.64","40%","-4.1%","9","3","308","3","0.3","0","3","19","10","13","3","0","1","19","6","0","0"
"Dwight McNeil","BUR","M","167","BigUps","@LEE Mon 1:00AM","125.25","9.63","87%","-2.1%","13","13","1,167","0","0.0","1","1","7","0","5","20","1","0","8","0","0","5"
"Willy Boly","WOL","D","168","Blkeburn","TOT Mon 8:15AM","115.5","9.62","83%","-1.4%","12","12","1,080","0","0.0","0","0","4","0","8","6","1","0","11","0","0","4"
"Matt Ritchie","NEW","D,M","169","BCFC","@MCI Sun 9:00AM","38.25","9.56","34%","+3%","4","3","272","0","0.0","0","0","4","1","3","8","0","0","3","0","0","0"
"Joel Ward","CRY","D","170","W (Tue)","@AVL Sun 4:00AM","57.25","9.54","3%","-0.3%","6","6","540","0","0.0","1","1","0","0","8","3","2","0","14","0","0","1"
"Joel Matip","LIV","D","171","W (Tue)","WBA Mon 5:30AM","66.75","9.54","57%","+4.2%","7","6","496","1","0.1","1","2","5","2","6","4","1","0","9","0","0","3"
"Neal Maupay","BHA","F","172","W (Wed)","@WHU Mon 3:15AM","114.25","9.52","76%","0%","12","11","917","4","0.3","1","5","30","14","11","13","0","0","11","5","2","2"
"Owen Otasowie","WOL","M","173","W (Thu)","TOT Mon 8:15AM","19","9.5","7%","+2.5%","2","1","105","0","0.0","1","1","1","0","3","3","1","0","6","0","0","0"
"Gareth Bale","TOT","M,F","174","WW69","@WOL Mon 8:15AM","37.75","9.44","85%","-1.2%","4","1","161","1","0.3","0","1","7","2","3","4","0","0","3","0","0","1"
"Ezgjan Alioski","LEE","D,M","175","W (Wed)","BUR Mon 1:00AM","113","9.42","14%","+1.6%","12","9","729","1","0.1","0","1","10","4","10","14","1","0","13","3","0","3"
"George Baldock","SHU","D,M","176","Joe","EVE Sun 9:00AM","131.25","9.38","39%","-4.1%","14","14","1,260","0","0.0","1","1","9","2","23","8","1","0","26","2","0","0"
"Sander Berge","SHU","M","177","W (Wed)","EVE Sun 9:00AM","121.75","9.37","12%","-4.6%","13","12","1,016","1","0.1","1","2","10","2","12","4","4","0","24","2","1","0"
"Bernardo Silva","MCI","M,F","178","BS420FC","NEW Sun 9:00AM","65.25","9.32","84%","+4.8%","7","5","464","0","0.0","0","0","4","2","5","6","0","0","5","0","0","3"
"Marc Albrighton","LEI","M","179","W (Wed)","MUN Sun 1:30AM","83.5","9.28","12%","+1.3%","9","5","530","0","0.0","0","0","6","2","1","10","1","0","4","1","0","2"
"David McGoldrick","SHU","F","180","W (Wed)","EVE Sun 9:00AM","111.25","9.27","10%","+2.6%","12","8","683","4","0.3","1","5","16","7","14","9","1","0","17","5","0","0"
"Gabriel Magalhaes","ARS","D","181","WW69","CHE Sun 6:30AM","111","9.25","75%","-8.4%","12","12","1,052","2","0.2","0","2","10","3","12","16","1","1","21","0","0","3"
"Ethan Ampadu","SHU","D,M","182","W (Wed)","EVE Sun 9:00AM","74","9.25","4%","0%","8","7","636","0","0.0","0","0","2","0","5","6","0","0","5","1","0","0"
"Ivan Cavaleiro","FUL","M,F","183","STV","SOU Sun 4:00AM","110.75","9.23","29%","-3.9%","12","10","879","1","0.1","0","1","19","9","17","10","1","0","20","3","1","1"
"Aleksandar Mitrovic","FUL","F","184","MKJ","SOU Sun 4:00AM","110.75","9.23","69%","+1.7%","12","8","782","2","0.2","2","4","33","10","16","13","2","0","22","1","1","1"
"Joachim Andersen","FUL","D","185","W (Tue)","SOU Sun 4:00AM","73.25","9.16","2%","-0.1%","8","8","692","0","0.0","0","0","1","0","12","6","2","1","24","0","0","2"
"Kyle Bartley","WBA","D","186","W (Wed)","@LIV Mon 5:30AM","73.25","9.16","4%","-0.1%","8","8","720","1","0.1","0","1","6","3","11","4","1","0","14","1","0","1"
"Bertrand Traore","AVL","M,F","187","W (Wed)","CRY Sun 4:00AM","91.25","9.12","25%","+2.3%","10","4","401","1","0.1","2","3","12","6","6","7","0","0","6","2","0","3"
"Ayoze Perez","LEI","M,F","188","W (Wed)","MUN Sun 1:30AM","63.75","9.11","44%","-8.8%","7","6","443","1","0.1","0","1","11","3","8","4","1","0","11","3","0","2"
"Georginio Wijnaldum","LIV","M","189","Bantztas","WBA Mon 5:30AM","127","9.07","57%","-0.3%","14","13","1,150","1","0.1","0","1","11","4","4","15","0","0","4","0","0","4"
"Chris Wood","BUR","F","190","MKJ","@LEE Mon 1:00AM","117.75","9.06","57%","-2.3%","13","13","1,113","3","0.2","0","3","24","14","16","9","0","0","16","7","0","5"
"Ruben Neves","WOL","M","191","MKJ","TOT Mon 8:15AM","126.25","9.02","47%","+0.2%","14","10","883","0","0.0","0","0","22","4","15","5","3","0","24","0","0","2"
"Fikayo Tomori","CHE","D","192","W (Thu)","@ARS Sun 6:30AM","9","9","1%","+0.1%","1","0","45","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"Robin Koch","LEE","D","193","W (Wed)","BUR Mon 1:00AM","99","9","18%","-2.8%","11","11","909","0","0.0","0","0","7","1","14","5","0","0","14","0","0","4"
"Gylfi Sigurdsson","EVE","M","194","248 SC","@SHU Sun 9:00AM","116.5","8.96","78%","+2.4%","13","7","670","1","0.1","2","3","13","3","9","6","0","0","9","0","1","2"
"Daniel James","MUN","M","195","W (Wed)","@LEI Sun 1:30AM","35.75","8.94","9%","+5.9%","4","4","269","1","0.3","0","1","9","3","4","1","2","0","10","2","0","0"
"Patrick van Aanholt","CRY","D","196","ratzzz","@AVL Sun 4:00AM","80.25","8.92","56%","-5.1%","9","8","738","0","0.0","1","1","12","4","6","1","1","0","9","3","0","0"
"Ben Godfrey","EVE","D,M","197","W (Tue)","@SHU Sun 9:00AM","71.25","8.91","11%","+0.1%","8","7","689","0","0.0","0","0","0","0","3","7","1","0","6","1","0","2"
"Pablo Fornals","WHU","M,F","198","MKJ","BHA Mon 3:15AM","123.75","8.84","67%","-4.5%","14","14","1,106","2","0.1","2","4","20","6","8","10","2","0","14","2","0","4"
"Joelinton","NEW","M,F","199","ratzzz","@MCI Sun 9:00AM","105","8.75","40%","-3.8%","12","8","726","1","0.1","2","3","17","7","8","13","2","0","14","3","0","1"
"Christian Fuchs","LEI","D","200","W (Wed)","MUN Sun 1:30AM","78.5","8.72","8%","-4.4%","9","8","702","0","0.0","0","0","4","0","14","5","4","0","26","0","0","3"
"Chris Basham","SHU","D","201","W (Wed)","EVE Sun 9:00AM","122","8.71","35%","-1.9%","14","14","1,162","0","0.0","0","0","5","0","13","11","1","0","16","4","0","0"
"John Fleck","SHU","M","202","W (Wed)","EVE Sun 9:00AM","78.25","8.69","24%","-0.1%","9","8","663","0","0.0","0","0","5","1","5","6","0","0","5","0","0","0"
"Helder Costa","LEE","M,F","203","W (Wed)","BUR Mon 1:00AM","86.75","8.68","29%","-4.6%","10","8","671","2","0.2","2","4","9","4","11","10","0","0","11","2","0","2"
"Alexandre Lacazette","ARS","F","204","WW69","CHE Sun 6:30AM","95.25","8.66","83%","-4.5%","11","8","664","3","0.3","0","3","15","9","19","19","2","0","25","3","0","2"
"Bobby De Cordova-Reid","FUL","M,F","205","W (Tue)","SOU Sun 4:00AM","111","8.54","18%","-8.9%","13","10","852","4","0.3","0","4","14","7","13","9","3","0","22","0","0","2"
"Nemanja Matic","MUN","M","206","W (Wed)","@LEI Sun 1:30AM","59.75","8.54","4%","-4.7%","7","5","434","0","0.0","0","0","3","2","5","4","1","0","8","0","0","1"
"Ruben Dias","MCI","D","207","W (Tue)","NEW Sun 9:00AM","93.5","8.5","64%","-7%","11","11","970","0","0.0","0","0","7","2","8","9","2","0","14","1","0","6"
"Jeffrey Schlupp","CRY","D,M","208","W (Tue)","@AVL Sun 4:00AM","101.5","8.46","23%","-1.9%","12","9","776","1","0.1","1","2","12","5","9","10","2","0","15","0","0","1"
"Joao Moutinho","WOL","M","209","Blkeburn","TOT Mon 8:15AM","100.25","8.35","51%","-0.8%","12","9","808","0","0.0","0","0","4","0","16","8","2","1","28","0","0","2"
"Alex Iwobi","EVE","M,F","210","WW69","@SHU Sun 9:00AM","108.5","8.35","39%","+4.5%","13","7","687","0","0.0","2","2","5","0","5","7","0","0","5","0","0","2"
"Cheikhou Kouyate","CRY","D,M","211","MKJ","@AVL Sun 4:00AM","116.75","8.34","17%","-1%","14","14","1,233","1","0.1","0","1","7","2","13","6","0","0","13","0","0","1"
"Maximilian Kilman","WOL","D","212","W (Thu)","TOT Mon 8:15AM","66.5","8.31","15%","-1.9%","8","7","642","0","0.0","1","1","4","1","10","1","1","0","13","0","0","3"
"Allan","EVE","M","213","W (Tue)","@SHU Sun 9:00AM","99.25","8.27","33%","-4.4%","12","12","1,030","0","0.0","0","0","4","1","21","18","4","0","33","0","0","2"
"Adama Traore","WOL","M,F","214","BCFC","TOT Mon 8:15AM","115.25","8.23","92%","-1%","14","7","760","0","0.0","0","0","9","3","17","24","3","0","26","1","0","1"
